Time, Ax, Ay, Az, Gx, Gy, Gz
725, -0.27417, -0.16162, 1.63623, -14.95361, 279.47998, -37.71973
734, -0.22888, -0.12939, 1.58984, -17.57813, 304.74854, -39.91699
743, -0.10413, -0.09680, 1.54932, -18.31055, 328.12500, -39.85596
752, -0.04236, -0.13928, 1.41357, -18.24951, 350.28076, -44.67773
761, -0.00793, -0.06592, 1.35608, -22.58301, 368.46924, -50.17090
770, 0.07141, -0.00134, 1.32031, -24.78027, 379.76074, -55.96924
779, 0.14734, 0.02405, 1.29907, -19.47021, 385.80322, -63.53760
787, 0.19641, 0.07153, 1.23291, -9.70459, 389.77051, -73.24219
796, 0.23474, 0.05823, 1.13342, 2.13623, 389.16016, -83.00781
804, 0.23401, 0.02795, 1.07043, 13.42773, 382.69043, -88.86719
813, 0.25110, -0.02710, 0.93384, 27.34375, 367.85889, -88.98926
822, 0.24353, -0.16541, 0.66675, 43.57910, 342.83447, -79.16260
831, 0.27368, -0.22144, 0.48206, 52.61230, 307.98340, -57.73926
840, 0.39453, -0.24695, 0.39490, 51.45264, 272.58301, -32.10449
849, 0.48328, -0.24609, 0.31226, 48.15674, 244.50684, -11.65771
858, 0.51367, -0.20496, 0.27344, 43.76221, 223.99902, 9.39941
867, 0.55347, -0.17993, 0.24182, 37.53662, 194.15283, 16.29639
876, 0.58008, -0.19641, 0.15674, 23.80371, 182.43408, 20.75195
885, 0.58276, -0.14819, 0.16443, 13.24463, 174.80469, 23.86475
894, 0.64087, -0.15869, 0.09387, 7.62939, 169.37256, 26.00098
902, 0.64087, -0.15869, 0.09387, 4.82178, 159.79004, 28.80859
910, 0.63794, -0.16492, 0.00085, 4.82178, 159.79004, 28.80859
918, 0.66907, -0.15259, -0.02771, 2.99072, 146.48437, 34.91211
926, 0.71362, -0.12512, -0.04749, 4.76074, 130.61523, 40.64941
934, 0.73328, -0.11145, -0.12207, 12.81738, 110.83984, 43.82324
942, 0.72278, -0.09583, -0.18335, 22.52197, 87.70752, 45.34912
950, 0.74072, -0.08472, -0.20215, 30.63965, 63.84277, 47.48535
958, 0.75220, -0.08691, -0.25549, 38.57422, 41.44287, 47.79053
966, 0.74048, -0.06531, -0.31836, 44.18945, 20.44678, 45.65430
974, 0.77405, -0.02649, -0.33606, 44.37256, 1.09863, 42.96875
982, 0.79700, -0.01147, -0.36121, 41.56494, -15.19775, 37.59766
990, 0.80591, -0.00464, -0.39868, 35.09521, -28.86963, 28.74756
998, 0.80591, -0.00464, -0.43457, 27.16064, -41.25977, 20.50781
1006, 0.79712, -0.00330, -0.43457, 27.16064, -59.38721, 14.77051
1014, 0.77856, -0.01379, -0.45886, 20.38574, -59.38721, 14.77051
1022, 0.76135, -0.04272, -0.45776, 16.29639, -84.35059, 12.93945
1030, 0.75000, -0.08069, -0.43286, 16.54053, -110.65674, 14.34326
1038, 0.70251, -0.12256, -0.43591, 22.82715, -140.62500, 18.73779
1046, 0.63330, -0.17224, -0.44055, 31.31104, -175.78125, 27.34375
1054, 0.54187, -0.21484, -0.42114, 38.14697, -212.40234, 41.74805
1062, 0.46399, -0.20020, -0.36890, 40.34424, -246.03271, 60.85205
1070, 0.44702, -0.09717, -0.27795, 33.87451, -273.31543, 80.13916
1078, 0.51599, 0.00159, -0.20300, 17.51709, -288.63525, 91.18652
1086, 0.55396, 0.13501, -0.09229, -5.55420, -288.51318, 89.17236
1094, 0.63623, 0.21484, 0.04895, -29.60205, -279.05273, 78.61328
1102, 0.63623, 0.21484, 0.04895, -45.95947, -268.00537, 61.64551
1110, 0.67859, 0.27454, 0.15881, -45.95947, -268.00537, 39.48975
1118, 0.67566, 0.29480, 0.26294, -55.05371, -260.37598, 39.48975
1126, 0.61060, 0.26758, 0.36902, -55.29785, -257.56836, 18.24951
1134, 0.48901, 0.21570, 0.46423, -45.65430, -259.39941, 3.54004
1142, 0.38635, 0.10559, 0.52869, -28.13721, -266.11328, 0.79346
1150, 0.26355, 0.02783, 0.60120, -7.99561, -273.86475, 9.21631
1158, 0.19617, -0.03967, 0.65271, 11.77979, -279.41895, 26.48926
1166, 0.20496, -0.05823, 0.71948, 28.38135, -280.27344, 47.66846
1174, 0.21692, -0.01489, 0.78308, 40.10010, -276.36719, 63.78174
1182, 0.26221, 0.04834, 0.85999, 49.37744, -267.82227, 70.61768
1190, 0.31140, 0.09998, 0.94507, 57.06787, -257.26318, 67.07764
1198, 0.31140, 0.13416, 1.00366, 66.16211, -243.40820, 53.83301
1207, 0.34631, 0.13721, 0.96008, 74.52393, -224.42627, 33.32520
1217, 0.25256, 0.09888, 0.90723, 77.63672, -208.61816, 10.13184
1225, 0.14758, 0.01843, 0.87683, 72.26563, -196.77734, -7.50732
1234, 0.04138, -0.05115, 0.84521, 58.77686, -184.99756, -16.41846
1243, -0.02051, -0.10779, 0.91785, 38.94043, -174.37744, -18.61572
1252, -0.06274, -0.14441, 1.02844, 20.62988, -164.36768, -14.95361
1261, -0.11426, -0.13965, 1.11230, 9.76562, -151.42822, -8.60596
1269, -0.14038, -0.13525, 1.10962, 6.34766, -140.56396, 0.06104
1278, -0.11951, -0.11267, 1.11609, 5.67627, -134.94873, 9.15527
1287, -0.09875, -0.07556, 1.20227, 4.88281, -132.32422, 12.08496
1296, -0.08752, -0.05640, 1.28088, 6.34766, -126.34277, 8.85010
1304, -0.10376, -0.03833, 1.29602, 10.43701, -116.76025, 1.77002
1313, -0.12720, -0.04456, 1.31799, 12.02393, -106.75049, -6.65283
1322, -0.17249, -0.06763, 1.35779, 10.25391, -95.33691, -15.50293
1331, -0.22485, -0.08899, 1.38489, 6.53076, -81.42090, -21.54541
1339, -0.26892, -0.10791, 1.41833, 2.31934, -68.05420, -23.55957
1348, -0.30688, -0.11914, 1.47888, -0.91553, -57.18994, -22.39990
1357, -0.32922, -0.13611, 1.52954, -1.95312, -46.81396, -19.65332
1366, -0.34412, -0.13806, 1.57117, -2.56348, -33.81348, -16.90674
1376, -0.35205, -0.14087, 1.59338, -2.62451, -19.04297, -14.70947
1385, -0.34143, -0.14343, 1.61401, -2.62451, -4.57764, -13.79395
1398, -0.33582, -0.13904, 1.66870, 0.54932, 27.22168, -17.02881
1408, -0.34351, -0.15369, 1.69031, 5.79834, 44.12842, -19.10400
1417, -0.36267, -0.15967, 1.70288, 12.51221, 63.59863, -20.87402
1426, -0.36780, -0.15430, 1.69031, 19.83643, 82.82471, -20.69092
1435, -0.35608, -0.16821, 1.63379, 25.87891, 102.84424, -20.01953
1444, -0.35193, -0.16272, 1.58777, 27.77100, 123.84033, -19.83643
1452, -0.31641, -0.15271, 1.55396, 25.02441, 147.76611, -19.77539
1461, -0.28271, -0.16077, 1.49512, 17.82227, 175.04883, -19.89746
1469, -0.24536, -0.14380, 1.48901, 5.67627, 204.58984, -21.54541
1478, -0.19702, -0.12537, 1.48047, -7.62939, 237.30469, -24.47510
1486, -0.18372, -0.10034, 1.44250, -19.53125, 270.14160, -26.79443
1495, -0.13232, -0.06030, 1.41882, -29.66309, 298.46191, -27.77100
1504, -0.07288, -0.02441, 1.38647, -32.89795, 319.09180, -28.13721
1513, -0.00024, -0.02051, 1.32886, -29.60205, 333.55713, -29.47998
1522, 0.03162, -0.03760, 1.22278, -21.42334, 339.53857, -31.43311
1531, 0.07031, -0.02332, 1.15283, -9.70459, 334.22852, -30.27344
1540, 0.16919, 0.01648, 1.10852, 4.39453, 321.28906, -26.91650
1548, 0.21802, 0.02075, 1.04565, 20.93506, 308.59375, -26.42822
1557, 0.26099, -0.00244, 0.99072, 38.51318, 300.35400, -26.00098
1566, 0.26831, -0.04517, 0.84814, 57.06787, 290.28320, -23.62061
1574, 0.30273, -0.07373, 0.68005, 71.22803, 273.19336, -16.90674
1582, 0.35327, -0.07703, 0.55359, 76.72119, 253.05176, -6.83594
1591, 0.41785, -0.09790, 0.43188, 73.79150, 237.30469, 2.07520
1599, 0.46814, -0.11157, 0.32690, 63.35449, 225.70801, 8.78906
1608, 0.49805, -0.10352, 0.26282, 49.56055, 214.84375, 15.31982
1616, 0.53113, -0.09009, 0.23157, 35.09521, 202.75879, 21.11816
1624, 0.57092, -0.08606, 0.18481, 24.41406, 189.88037, 26.73340
1633, 0.60669, -0.09302, 0.12122, 17.63916, 173.88916, 31.61621
1642, 0.61536, -0.05469, 0.13208, 13.42773, 156.37207, 35.82764
1650, 0.65894, -0.01868, 0.18127, 11.90186, 143.12744, 37.78076
1659, 0.67004, -0.01636, 0.13159, 16.78467, 134.64355, 36.25488
1668, 0.67236, -0.01721, 0.04712, 20.93506, 124.69482, 33.32520
1677, 0.69702, -0.02722, -0.01135, 20.01953, 113.89160, 31.37207
1685, 0.73535, -0.03479, -0.05286, 15.25879, 103.69873, 28.62549
1693, 0.73535, -0.03479, -0.05286, 10.37598, 91.85791, 24.23096
1701, 0.74683, -0.02295, -0.07813, 10.37598, 76.23291, 19.77539
1710, 0.75098, -0.01013, -0.08337, 9.21631, 62.56104, 15.93018
1719, 0.77307, -0.02502, -0.10474, 9.15527, 47.24121, 11.23047
1727, 0.75867, -0.03552, -0.14795, 9.15527, 31.61621, 7.38525
1736, 0.74939, -0.02979, -0.15942, 6.22559, 19.53125, 6.22559
1745, 0.74390, -0.04272, -0.16968, 7.01904, 2.19727, 6.10352
1754, 0.73975, -0.06689, -0.15613, 8.23975, -14.46533, 7.08008
1763, 0.72949, -0.04919, -0.14905, 10.19287, -29.96826, 7.93457
1772, 0.73511, -0.03931, -0.15247, 11.53564, -44.92188, 8.54492
1781, 0.74927, -0.02673, -0.16260, 10.92529, -58.89893, 7.87354
1790, 0.76001, -0.02832, -0.18604, 7.44629, -71.83838, 5.06592
1798, 0.75562, -0.02539, -0.20801, 0.85449, -84.10645, 1.28174
1807, 0.74927, -0.01160, -0.23108, -7.87354, -96.67969, -1.70898
1816, 0.73633, -0.01855, -0.23816, -18.00537, -112.06055, -2.74658
1825, 0.71411, -0.01868, -0.22632, -28.32031, -131.16455, -3.05176
1834, 0.64087, 0.00085, -0.21069, -37.65869, -152.16064, -1.52588
1843, 0.60657, -0.02039, -0.17688, -44.98291, -175.84229, 4.63867
1852, 0.55493, -0.01794, -0.13086, -51.81885, -201.35498, 12.39014
1861, 0.51221, -0.01538, -0.04553, -56.70166, -227.05078, 20.56885
1870, 0.44495, 0.00830, 0.05823, -59.87549, -253.23486, 28.80859
1879, 0.44153, 0.09375, 0.22363, -60.79102, -274.10889, 35.21729
1888, 0.47900, 0.14941, 0.40100, -58.53271, -286.37695, 35.70557
1896, 0.48315, 0.19946, 0.53711, -49.56055, -290.10010, 29.11377
1905, 0.49194, 0.21777, 0.65149, -35.94971, -289.30664, 16.84570
1913, 0.48083, 0.21619, 0.73840, -18.92090, -285.58350, 3.05176
1922, 0.44678, 0.19250, 0.79236, -1.77002, -281.00586, -10.55908
1931, 0.36389, 0.13965, 0.80493, 15.74707, -276.18408, -21.66748
1939, 0.29260, 0.07837, 0.80713, 30.27344, -272.21680, -27.28271
1947, 0.21899, 0.01440, 0.80017, 40.10010, -270.69092, -27.70996
1955, 0.12988, -0.05188, 0.81470, 45.83740, -270.44678, -22.64404
1963, 0.00830, -0.13220, 0.87939, 46.32568, -267.33398, -13.12256
1971, 0.00830, -0.13220, 0.87939, 42.29736, -259.70459, 0.97656
1979, -0.04053, -0.19287, 0.96741, 42.29736, -244.07959, 17.39502
1987, -0.04102, -0.18701, 1.08301, 36.07178, -244.99512, 17.39502
1995, 0.00476, -0.13831, 1.18225, 32.16553, -223.38867, 30.09033
2003, 0.05579, -0.06970, 1.21802, 32.83691, -199.21875, 33.87451
2011, 0.07813, -0.01270, 1.16541, 37.17041, -180.23682, 28.62549
2019, 0.06384, 0.00793, 1.13831, 40.03906, -169.43359, 16.60156
2027, 0.01794, -0.02490, 1.13904, 37.65869, -161.86523, 2.86865
2035, -0.05432, -0.06555, 1.14246, 30.76172, -151.36719, -7.44629
2043, -0.12793, -0.09949, 1.16394, 18.98193, -137.51221, -13.85498
2051, -0.18884, -0.12952, 1.22656, 4.33350, -123.59619, -15.25879
2059, -0.23499, -0.16138, 1.30750, -7.50732, -109.25293, -12.87842
2067, -0.26624, -0.16284, 1.32922, -14.64844, -93.99414, -7.44629
2075, -0.26599, -0.16284, 1.32922, -17.39502, -80.74951, -1.15967
2083, -0.25378, -0.13489, 1.34570, -17.39502, -80.74951, -1.15967
2091, -0.23340, -0.10437, 1.37036, -15.93018, -73.18115, 3.54004
2099, -0.22510, -0.09265, 1.38196, -9.76562, -69.39697, 5.06592
2107, -0.22131, -0.09863, 1.38757, -1.34277, -66.40625, 4.27246
2116, -0.22083, -0.10803, 1.38391, 5.98145, -61.70654, 3.54004
2124, -0.22351, -0.11047, 1.38196, 11.59668, -54.62646, 2.31934
2132, -0.23584, -0.10510, 1.39551, 15.74707, -46.20361, 0.85449
2140, -0.23889, -0.10425, 1.42859, 18.06641, -37.71973, -1.40381
2148, -0.25269, -0.10913, 1.44897, 19.47021, -27.64893, -4.76074
2156, -0.28577, -0.12476, 1.45862, 18.85986, -14.64844, -9.46045
2165, -0.32141, -0.14978, 1.45984, 15.74707, 0.48828, -13.12256
2173, -0.33313, -0.16895, 1.49512, 9.70459, 18.73779, -15.86914
