Time,Ax,Ay,Az,Gx,Gy,Gz
802,1.16101,-0.00183,0.71021,-40.22217,87.1582,-34.79004
810,1.16101,-0.00183,0.61646,-34.66797,94.17725,-13.79395
819,1.04541,0.26855,0.48218,-25.39063,85.20508,3.17383
827,1.04419,0.26855,0.48218,-13.42773,68.42041,16.05225
836,1.02222,0.26282,0.25159,-7.56836,55.96924,18.00537
844,0.96558,0.3772,0.26978,-7.56836,40.34424,18.00537
852,0.86609,0.40247,0.1991,-2.80762,40.52734,18.00537
861,0.81799,0.30261,0.05408,5.43213,25.02441,17.8833
869,0.71729,0.20154,-0.07813,8.11768,14.4043,12.39014
877,0.58813,0.11975,-0.13391,2.2583,9.39941,3.17383
885,0.49585,0.0343,-0.14648,-4.69971,4.82178,-3.84521
893,0.41016,-0.04614,-0.1416,-7.38525,-1.0376,-7.99561
902,0.35828,-0.1532,-0.17212,-5.85937,-8.11768,-10.49805
910,0.28784,-0.22095,-0.20715,-4.21143,-14.89258,-12.39014
919,0.23499,-0.25745,-0.19922,-5.31006,-19.22607,-14.46533
929,0.21411,-0.29382,-0.17566,-6.89697,-22.64404,-14.83154
938,0.20508,-0.29065,-0.14294,-7.08008,-26.61133,-15.25879
947,0.20581,-0.23962,-0.08875,-6.22559,-29.54102,-17.27295
956,0.22009,-0.22498,-0.0658,-3.54004,-32.04346,-18.9209
965,0.22913,-0.21985,-0.03711,-0.85449,-34.42383,-20.44678
974,0.24951,-0.20654,-0.00574,2.19727,-35.40039,-22.46094
983,0.27332,-0.18909,0.00659,7.26318,-34.79004,-28.62549
992,0.31799,-0.18359,0.01355,15.25879,-30.39551,-33.3252
1001,0.36682,-0.15662,0.02197,15.56396,-27.58789,-38.87939
1009,0.42761,-0.13293,0.05542,15.56396,-27.58789,-44.98291
1018,0.50012,-0.09753,0.11206,14.89258,-21.60645,-50.84229
1027,0.56738,-0.03442,0.19727,18.49365,-19.104,-53.58887
1036,0.67944,0.03723,0.42102,26.67236,-18.00537,-54.87061
1045,1.01135,0.11401,0.53662,36.8042,-17.21191,-58.28857
1053,1.01135,0.11401,0.53662,47.11914,-15.74707,-64.7583
1062,1.23242,0.10913,0.79639,54.62646,-13.3667,-73.30322
1070,1.50183,0.07336,0.78284,54.62646,-10.13184,-78.00293
1078,1.79651,0.05981,0.99341,60.4248,-10.13184,-78.00293
1086,2.09143,0.1405,1.24182,67.74902,-7.20215,-74.09668
1095,2.32251,0.2854,1.4635,76.53809,-0.36621,-68.60352
1103,2.427,0.45276,1.63623,79.71191,17.57813,-68.11523
1111,2.45813,0.6217,1.76038,75.74463,47.36328,-66.65039
1119,2.46838,0.78882,1.77576,68.29834,80.56641,-58.34961
1127,2.41589,0.97766,1.70862,58.28857,110.5957,-45.53223
1136,2.30383,1.15051,1.59387,47.24121,133.36182,-31.61621
1144,2.12451,1.23767,1.41223,39.91699,147.27783,-20.26367
1153,1.85132,1.24377,1.16467,35.27832,152.22168,-14.46533
1162,1.56885,1.12231,0.89404,30.45654,148.68164,-10.98633
1171,1.25452,0.97852,0.62439,24.16992,139.16016,-8.60596
1179,1.01868,0.85754,0.42761,13.79395,126.83105,-6.40869
1188,0.91199,0.80322,0.39966,1.77002,110.22949,-4.82178
1196,0.74426,0.74451,0.35571,-3.11279,79.46777,-6.22559
1205,0.62402,0.60864,0.30701,1.64795,43.94531,-11.35254
1213,0.44678,0.45264,0.28125,8.30078,13.06152,-18.85986
1221,0.25903,0.35291,0.3363,11.35254,-12.75635,-22.70508
1230,0.0531,0.25574,0.34399,14.46533,-35.33936,-18.37158
1238,-0.0813,0.15649,0.34143,19.53125,-48.58398,-6.83594
1247,-0.22314,0.10291,0.32947,20.32471,-50.47607,5.7373
1255,-0.34021,0.09082,0.33801,16.23535,-42.48047,19.59229
1264,-0.41357,0.10193,0.35876,12.26807,-28.38135,33.63037
1273,-0.46948,0.12537,0.33545,11.53564,-12.26807,44.31152
1281,-0.49731,0.14185,0.28137,12.26807,3.84521,49.31641
1290,-0.52844,0.14612,0.20178,13.67187,19.65332,48.88916
1298,-0.54834,0.13184,0.11536,14.03809,32.10449,44.86084
1306,-0.5835,0.10913,0.01941,14.22119,40.71045,39.18457
1315,-0.6145,0.08069,-0.06567,13.30566,46.02051,33.99658
1324,-0.61755,0.03625,-0.15454,12.08496,49.07227,31.67725
1332,-0.60925,0.01746,-0.23645,9.58252,50.59814,31.18896
1341,-0.56653,0.02112,-0.29932,6.34766,50.84229,32.71484
1350,-0.50623,0.04736,-0.34143,2.56348,49.07227,34.17969
1358,-0.4364,0.08691,-0.3645,-0.85449,44.7998,33.81348
1367,-0.35352,0.13184,-0.37708,-3.479,37.96387,30.33447
1375,-0.35352,0.1842,-0.35852,-5.7373,29.72412,23.68164
1383,-0.26929,0.1842,-0.35852,-7.8125,20.62988,14.09912
1392,-0.18323,0.21851,-0.33484,-9.09424,10.86426,4.3335
1401,-0.12756,0.27417,-0.25061,-11.59668,2.92969,-3.11279
1409,-0.06116,0.25647,-0.25061,-14.16016,-1.70898,-7.14111
1418,0.01379,0.27478,-0.19604,-18.12744,-3.78418,-9.21631
1426,0.11316,0.29541,-0.16443,-18.12744,-3.78418,-8.36182
1435,0.24548,0.31702,-0.14978,-40.52734,-2.2583,-3.23486
1444,0.45007,0.31567,-0.13245,-43.5791,-4.69971,7.01904
1453,0.71436,0.32019,0.0564,-50.1709,-16.47949,23.92578
1461,1.05334,0.4176,0.0564,-50.1709,-43.09082,46.93604
1470,1.45447,0.59338,0.25415,-47.18018,-79.10156,70.55664
1478,1.8407,0.97815,0.60876,-47.18018,-79.10156,86.18164
1486,2.30969,1.40759,1.06848,-38.20801,-115.53955,86.79199
1494,2.70837,1.74463,1.45203,-17.8833,-147.3999,84.65576
1502,2.90405,1.89136,1.68311,4.82178,-169.7998,63.17139
1511,2.88831,1.81775,1.81299,15.93018,-170.28809,30.76172
1519,2.68762,1.55408,1.8269,11.84082,-142.08984,-1.64795
1527,2.40918,1.1875,1.73962,-0.42725,-93.44482,-23.07129
1535,2.1156,0.82202,1.52319,-10.55908,-40.1001,-28.25928
1543,1.87781,0.5769,1.25476,-15.13672,5.7373,-18.18848
1551,1.72314,0.45837,0.97717,-15.38086,39.91699,-0.06104
1559,1.64136,0.43994,0.70898,-13.18359,61.82861,18.98193
1567,1.58337,0.46643,0.48267,-11.16943,71.22803,31.92139
1575,1.50549,0.49756,0.30396,-9.58252,70.12939,35.5835
1583,1.50549,0.49756,0.30396,-8.05664,60.60791,30.39551
1591,1.39734,0.48828,0.15759,-8.05664,60.60791,30.39551
1599,1.24951,0.41064,-0.00305,-6.16455,46.32568,19.34814
1607,1.07434,0.30249,-0.12109,-9.15527,32.04346,5.00488
1616,0.9259,0.23206,-0.13599,-16.41846,20.26367,-7.87354
1624,0.74707,0.17285,-0.12549,-20.93506,7.01904,-16.90674
1632,0.63586,0.02197,-0.21411,-17.76123,-10.0708,-19.59229
1641,0.54285,-0.04175,-0.18066,-14.77051,-27.64893,-21.11816
1649,0.44653,-0.12146,-0.16968,-9.15527,-53.28369,-20.81299
1657,0.37415,-0.20776,-0.16724,1.0376,-79.1626,-22.70508
1665,0.25562,-0.27014,-0.11987,5.5542,-95.39795,-28.19824
1673,0.15308,-0.32983,0.00903,1.64795,-96.80176,-32.04346
1681,0.09277,-0.39038,0.13086,-2.80762,-88.0127,-32.34863
1689,0.05469,-0.43286,0.18579,-3.78418,-72.50977,-29.47998
1698,0.06201,-0.47217,0.19385,-2.56348,-55.29785,-24.04785
1706,0.07141,-0.45996,0.17737,-1.15967,-40.40527,-19.28711
1715,0.11292,-0.42957,0.1637,1.15967,-28.44238,-15.68604
1723,0.15759,-0.3855,0.14307,5.06592,-20.1416,-14.83154
1731,0.15759,-0.3855,0.14307,10.49805,-15.625,-16.11328
1739,0.20544,-0.34119,0.14331,10.49805,-14.34326,-18.12744
1747,0.26306,-0.29187,0.18079,17.27295,-14.34326,-18.12744
1755,0.30249,-0.23389,0.21716,28.68652,-17.21191,-19.40918
1763,0.35217,-0.21985,0.21973,42.72461,-21.66748,-19.71436
1771,0.43652,-0.23096,0.19604,55.11475,-22.33887,-21.60645
1779,0.51172,-0.20532,0.20142,61.88965,-15.86914,-27.09961
1787,0.62463,-0.17468,0.2688,63.96484,-7.38525,-32.40967
1796,0.76355,-0.15344,0.33704,67.32178,-1.40381,-36.07178
1804,0.91541,-0.15405,0.40234,72.63184,1.95312,-39.61182
1813,1.08936,-0.18494,0.49023,75.98877,4.69971,-41.19873
1822,1.31519,-0.21692,0.61511,77.0874,7.62939,-39.0625
1830,1.60925,-0.2533,0.74792,78.00293,11.77979,-33.08105
1838,1.90906,-0.19507,0.89294,77.33154,17.51709,-23.25439
1847,2.16431,0.0177,1.07715,72.69287,24.59717,-10.92529
1855,2.4314,0.3092,1.29749,65.7959,33.44727,0.48828
1863,2.59692,0.56311,1.47791,59.44824,43.88428,2.68555
1871,2.60901,0.70654,1.57898,54.32129,54.32129,-5.79834
1879,2.45276,0.75916,1.60498,51.02539,63.96484,-17.57813
1888,2.24451,0.73437,1.51221,50.04883,73.36426,-24.78027
1896,2.24451,0.73437,1.51221,46.32568,85.81543,-25.02441
1905,1.98267,0.61914,1.13586,35.7666,100.21973,-19.83643
1913,1.71948,0.61914,1.13586,23.68164,109.80225,-10.00977
1921,1.47803,0.58838,0.96277,23.68164,109.80225,-10.00977
1930,1.28345,0.54956,0.77246,14.4043,108.94775,12.3291
1939,1.08752,0.48218,0.57727,-7.87354,79.40674,20.75195
1947,0.88525,0.46716,0.46094,-1.0376,79.40674,20.75195
1956,0.72742,0.51392,0.44836,-10.68115,58.1665,23.92578
1966,0.51306,0.59009,0.53259,-17.27295,27.03857,17.7002
1974,0.51306,0.59009,0.53259,-11.77979,10.92529,11.47461
1982,0.396,0.49011,0.46692,-11.77979,10.92529,11.47461
1991,0.22705,0.34607,0.33362,-6.10352,-0.97656,1.09863
1999,0.03662,0.24341,0.27722,-8.8501,-0.97656,1.09863
2008,-0.10461,0.15771,0.26294,-17.15088,3.41797,23.19336
2016,-0.20959,0.10083,0.22876,-23.86475,8.72803,21.42334
2025,-0.28857,0.10034,0.21094,-28.07617,16.35742,36.92627
2033,-0.32263,0.13538,0.20874,-30.27344,23.98682,51.87988
2042,-0.31311,0.20422,0.20532,-30.15137,30.09033,62.98828
2050,-0.29333,0.25122,0.17957,-27.03857,36.01074,66.46729
2058,-0.26831,0.27344,0.14075,-23.01025,41.07666,63.11035
2066,-0.25391,0.29675,0.10352,-20.44678,44.6167,55.54199
2074,-0.2583,0.29846,0.05542,-18.43262,47.05811,46.81396
2083,-0.22583,0.26025,0.00891,-16.29639,48.76709,39.79492
2091,-0.22168,0.24622,-0.04309,-15.01465,48.58398,33.56934
2100,-0.19373,0.24219,-0.07739,-14.46533,47.79053,28.74756
2108,-0.13892,0.25488,-0.08997,-14.22119,47.42432,24.90234
2117,-0.09216,0.26208,-0.11279,-12.69531,46.50879,18.55469
2126,-0.02722,0.28064,-0.14014,-11.53564,44.00635,10.80322
2135,0.05627,0.28137,-0.17078,-12.69531,40.95459,0.91553
2144,0.12451,0.27808,-0.18372,-17.02881,37.41455,-11.96289
2153,0.18384,0.29224,-0.15027,-23.19336,31.98242,-24.96338
2162,0.26099,0.30798,-0.09692,-27.58789,25.20752,-35.70557
2171,0.3573,0.29565,-0.07544,-28.19824,18.73779,-43.82324
2180,0.48279,0.28345,-0.05786,-29.11377,12.57324,-47.85156
2189,0.66479,0.25269,-0.03296,-32.95898,6.22559,-46.38672
2198,0.93091,0.21692,0.02307,-39.00146,-2.92969,-39.0625
2207,1.24817,0.27673,0.17407,-44.6167,-17.94434,-24.78027
2216,1.57947,0.48474,0.3988,-45.22705,-41.38184,-5.98145
2226,1.95068,0.74878,0.63586,-26.67236,-99.12109,20.62988
2236,2.47449,1.12122,1.07178,-14.64844,-124.51172,15.19775
2245,2.52026,1.14636,1.22327,-4.94385,-139.64844,1.95312
2254,2.43311,1.08472,1.302,-0.18311,-137.20703,-10.49805
2262,2.23987,0.95703,1.27917,0.12207,-114.01367,-20.26367
2271,2.04529,0.71423,1.12012,-0.73242,-77.51465,-23.62061
2280,1.82898,0.4873,0.8949,-4.02832,-38.57422,-20.56885
2289,1.6521,0.3103,0.67078,-9.70459,-4.02832,-12.20703
2298,1.57239,0.18042,0.48437,-13.42773,21.11816,0.67139
2306,1.50366,0.13416,0.32593,-13.3667,30.94482,14.89258
2314,1.44995,0.11768,0.17542,-10.68115,29.05273,27.16064
2323,1.39001,0.09216,0.04333,-9.64355,21.60645,36.01074
2332,1.32458,0.05774,-0.0553,-13.48877,14.5874,39.79492
2340,1.2395,0.11169,-0.01685,-22.82715,11.41357,37.71973
2348,1.2395,0.23669,0.09302,-29.35791,5.5542,33.38623
2356,1.13062,0.23755,0.09302,-29.35791,-11.2915,33.56934
2365,0.99316,0.36401,0.20935,-3.41797,-37.10938,36.74316
2374,0.95276,0.13538,-0.08899,1.64795,-46.20361,26.30615
2382,0.7561,0.07239,-0.08899,1.64795,-48.64502,14.95361
