 Ax, Ay, Az, Gx, Gy, Gz
0.33264,2.04663,2.96436,-65.73486,168.396,61.09619
0.18994,1.88062,3.26221,-50.59814,124.38965,103.8208
-0.00256,1.14526,3.37512,-12.39014,74.21875,150.02441
0.16736,0.58496,3.12854,-11.77979,42.11426,171.26465
0.05066,-0.5542,2.56763,10.0708,-20.56885,193.60352
0.23425,-1.16284,2.67908,-10.86426,-37.59766,184.08203
0.30237,-1.65808,2.66992,-9.8877,-71.04492,164.48975
0.39319,-2.00342,2.42529,12.08496,-108.52051,129.94385
0.44409,-2.12573,1.94849,46.875,-140.80811,84.96094
0.44861,-1.9884,1.25891,86.42578,-160.64453,35.88867
0.4408,-1.86023,0.53259,99.73145,-162.47559,-6.53076
0.34717,-1.74585,0.0636,83.98438,-144.77539,-51.94092
0.23193,-1.39575,-0.22913,65.00244,-120.4834,-94.54346
0.14941,-1.08154,-0.41174,51.3916,-101.13525,-125.24414
0.10059,-0.71606,-0.63171,44.37256,-74.52393,-143.55469
0.06873,-0.43921,-0.88989,41.80908,-41.3208,-152.9541
0.04578,-0.14282,-1.01758,38.20801,25.26855,-150.32959
0.06189,0.35547,-0.98352,21.42334,65.42969,-139.52637
0.0791,0.58655,-0.95325,1.15967,98.32764,-121.27686
0.12842,0.72192,-0.77893,-9.58252,130.98145,-106.0791
0.20312,0.89795,-0.49683,-12.02393,160.09521,-98.38867
0.27136,1.37024,-0.08423,-13.12256,187.74414,-88.07373
0.31775,1.83069,0.48096,4.69971,209.7168,-59.14307
0.41833,2.23169,1.01538,3.479,217.40723,-11.35254
0.58301,2.17798,1.81702,-4.39453,219.54346,48.21777
0.64172,1.95996,2.625,-34.60693,203.85742,102.23389
0.60718,1.58569,3.32385,-42.96875,169.00635,146.30127
0.34119,0.83228,3.48157,-29.41895,109.13086,188.35449
0.46094,0.03772,3.70593,-24.53613,61.52344,208.92334
0.46118,-0.80518,3.47156,-25.26855,-30.33447,204.65088
0.47815,-1.3667,3.4519,-19.16504,-77.45361,177.18506
0.60974,-1.59961,3.02039,0,-138.91602,138.30566
0.63818,-1.73169,2.00183,54.50439,-184.32617,94.36035
0.6394,-1.82556,1.66589,100.58594,-185.79102,43.76221
0.58337,-1.41553,1.04773,99.91455,-202.69775,0.48828
0.495,-1.3302,0.29077,104.79736,-205.3833,-28.50342
0.4635,-1.19189,-0.28796,100.09766,-182.06787,-61.34033
0.30542,-1.18799,-0.39282,99.18213,-138.00049,-93.68896
0.23926,-0.87732,-0.35376,78.67432,-110.96191,-114.74609
0.17102,-0.63428,-0.57617,84.41162,-101.07422,-119.50684
0.1178,-0.4353,-0.86633,75.62256,-71.96045,-124.38965
0.11011,-0.16748,-0.97949,60.4248,-27.70996,-125.06104
0.08252,0.02832,-1.078,36.49902,12.26807,-115.90576
0.11279,0.19714,-0.95679,9.82666,59.14307,-106.20117
0.15344,0.30054,-0.74194,-10.86426,94.42139,-95.03174
0.19202,0.45374,-0.51868,-29.78516,137.51221,-95.33691
0.20886,0.97913,-0.05554,-22.27783,169.49463,-92.34619
0.24512,1.50818,0.53589,-13.18359,195.49561,-81.05469
0.30408,2.12439,1.08826,-40.83252,204.52881,-51.63574
0.3468,2.4823,1.76343,-65.91797,206.97021,-8.54492
0.38123,2.68481,2.51379,-64.39209,196.28906,40.83252
0.35669,2.57056,3.06604,-39.67285,164.48975,104.18701
0.42493,1.89026,3.49133,0.30518,115.72266,173.82812
0.49622,1.09509,2.95166,8.05664,81.17676,221.13037
0.55652,-0.16101,3.00024,20.87402,31.31104,248.53516
0.64282,-1.02551,2.92029,-15.56396,-5.31006,243.59131
0.68823,-1.78345,2.9729,-0.48828,-49.62158,211.9751
0.71155,-2.24304,2.64319,26.79443,-105.77393,159.729
0.72131,-2.48596,2.11304,68.96973,-147.88818,94.66553
0.65405,-2.41077,1.49524,106.87256,-171.63086,22.33887
0.59399,-1.93359,0.86975,131.7749,-178.16162,-38.81836
0.49768,-1.67749,0.31274,146.11816,-168.76221,-84.7168
0.40894,-1.30188,-0.08203,119.75098,-145.87402,-124.93896
0.31152,-0.93933,-0.25122,90.82031,-115.66162,-148.31543
0.26099,-0.62793,-0.35278,69.33594,-89.78271,-161.92627
0.19067,-0.24011,-0.58691,55.29785,-62.68311,-166.80908
0.14697,0.14148,-0.60449,43.396,-23.31543,-152.89307
0.08179,0.55505,-0.6073,14.77051,26.61133,-126.95313
0.08459,0.8136,-0.47729,-4.02832,62.92725,-97.71729
0.11121,0.8811,-0.30737,-16.35742,89.96582,-81.78711
0.09839,1.19836,-0.01758,-11.2915,115.72266,-75.19531
0.07214,1.55444,0.29272,14.52637,133.97217,-56.03027
0.02954,1.72729,0.45129,17.63916,144.22607,-19.65332
0.03052,1.72839,0.66113,-12.20703,156.86035,20.93506
0.11633,1.69751,1.07092,-43.27393,166.3208,55.7251
0.19958,1.82166,1.66895,-54.80957,169.31152,87.70752
0.30237,1.71948,2.29614,-36.74316,158.5083,129.63867
0.34827,1.2041,2.83777,-32.95898,131.34766,179.74854
0.50684,0.56384,2.98901,-43.33496,95.8252,216.12549
0.55469,-0.26233,3.36829,-53.83301,48.88916,229.18701
0.58704,-0.755,3.32227,-49.07227,-8.23975,220.03174
0.6665,-1.49902,3.13184,-8.17871,-60.97412,198.48633
0.67639,-2.11548,2.922,21.24023,-144.59229,115.1123
0.63977,-2.15479,2.19116,75.07324,-191.58936,46.69189
0.6261,-1.69165,1.57788,114.31885,-222.29004,-5.98145
0.59412,-1.43213,0.85291,128.96729,-237.91504,-41.74805
0.49597,-1.37012,0.14429,125.85449,-229.06494,-72.32666
0.41785,-1.24463,-0.0686,117.00439,-194.39697,-113.40332
0.33069,-0.73669,-0.36853,94.72656,-166.62598,-146.11816
0.20251,-0.43799,-0.49475,81.72607,-128.54004,-158.14209
0.1438,-0.10242,-0.68689,63.41553,-95.27588,-160.40039
0.09448,0.1803,-0.91687,55.96924,-53.6499,-154.84619
0.01648,0.52173,-0.98804,48.15674,-4.27246,-142.08984
-0.0498,0.8429,-0.97949,39.30664,44.00635,-117.55371
-0.00403,0.76343,-0.81616,23.25439,89.2334,-90.82031
0.05249,0.76648,-0.70386,-7.99561,127.92969,-80.56641
0.08167,1.18652,-0.27112,-4.39453,173.03467,-77.75879
0.06323,1.69373,0.24426,21.30127,202.81982,-53.95508
0.11365,1.8634,0.74304,35.46143,217.89551,-4.82178
0.17908,1.80554,1.24475,-0.06104,218.93311,44.7998
0.28943,1.74255,1.47473,-32.53174,219.05518,82.88574
0.4342,1.60327,2.39832,-36.68213,211.60889,115.60059
0.45557,1.35315,3.16406,-21.24023,184.021,150.14648
0.29846,0.70056,3.30408,-7.32422,114.99023,189.02588
0.40955,0.06433,3.30273,-19.77539,68.90869,205.93262
0.4115,-0.67249,3.29016,-28.01514,2.50244,204.40674
0.37256,-1.16406,3.02112,-34.11865,-54.93164,190.979
0.39221,-1.42151,2.92676,-5.67627,-97.90039,162.8418
0.46619,-1.99243,2.52686,30.39551,-140.31982,118.4082
0.46277,-1.96143,1.99182,73.05908,-182.31201,60.2417
0.46204,-1.63708,1.40247,117.00439,-206.90918,9.0332
0.4165,-1.31592,0.66113,137.69531,-214.96582,-22.70508
0.35022,-1.30835,0.10486,145.44678,-197.81494,-47.54639
0.31165,-1.17407,-0.27747,118.4082,-167.84668,-78.73535
0.26331,-0.86523,-0.69531,92.7124,-131.7749,-105.22461
0.16235,-0.76184,-0.87268,81.90918,-85.08301,-120.91064
0.12964,-0.41858,-0.82043,58.22754,-36.62109,-136.90186
0.08118,0.1051,-0.93835,36.19385,0.85449,-138.85498
0.06982,0.4585,-0.97168,29.05273,43.33496,-120.84961
0.07043,0.58264,-0.89062,5.31006,82.94678,-95.52002
0.13098,0.55383,-0.81519,-20.56885,117.06543,-77.75879
0.20874,0.5863,-0.48767,-25.87891,154.96826,-79.65088
0.18811,1.0271,0.01282,-3.90625,183.10547,-89.59961
0.21704,1.71082,0.5199,16.60156,201.41602,-76.72119
0.28882,2.20825,1.0752,-0.24414,210.99854,-30.0293
0.38928,2.40723,1.70081,-31.18896,210.99854,29.41895
0.51929,2.35876,2.55518,-34.36279,209.28955,90.14893
