 Ax, Ay, Az, Gx, Gy, Gz
0.52063,-1.53235,0.22449,128.479,-233.70361,-21.97266
0.42383,-1.3573,-0.38025,121.15479,-206.48193,-64.63623
0.30957,-1.04529,-0.67651,89.53857,-163.08594,-101.5625
0.17993,-0.62878,-0.80872,71.83838,-120.17822,-124.08447
0.09094,-0.32996,-0.95361,66.71143,-81.29883,-123.65723
0.03772,-0.20447,-1.0592,63.84277,-13.24463,-116.1499
0.06165,-0.14148,-0.99133,49.07227,27.40479,-112.18262
0.07715,-0.03845,-0.87256,34.60693,66.28418,-109.19189
0.09741,0.14624,-0.77551,13.5498,101.5625,-103.21045
0.16418,0.33997,-0.59558,-4.57764,136.2915,-93.44482
0.20264,0.6084,-0.41931,-25.63477,163.45215,-82.03125
0.31592,0.87573,-0.02161,-42.05322,192.81006,-71.5332
0.42505,1.31348,0.64551,-52.36816,217.46826,-59.69238
0.61011,1.76477,1.50085,-47.18018,229.06494,-38.0249
0.70337,2.17957,2.24194,-42.11426,218.87207,-2.92969
0.66077,2.3855,2.89514,-34.66797,192.0166,49.19434
0.5365,2.13037,3.19482,-18.67676,143.43262,115.17334
0.49463,1.30664,3.35107,-4.3335,89.2334,174.25537
0.65796,0.72522,3.61841,-28.07617,72.99805,203.61328
0.38782,-0.08557,2.79749,-14.52637,-10.49805,226.62354
0.61902,-1.20862,3.19324,-11.23047,-31.79932,229.00391
0.6377,-1.82227,2.96033,-28.01514,-93.62793,191.77246
0.65466,-2.21558,2.64832,24.35303,-145.08057,132.62939
0.66089,-2.27368,2.04407,71.28906,-191.65039,67.32178
0.63586,-2.27539,1.33435,109.375,-215.69824,3.78418
0.56055,-1.97717,0.73645,122.7417,-218.20068,-53.58887
0.48096,-1.70715,0.20166,112.91504,-205.74951,-98.99902
0.42163,-1.5293,-0.2207,89.90479,-173.0957,-134.09424
0.36633,-1.28015,-0.27979,60.54688,-121.82617,-180.60303
0.31738,-0.80847,-0.43738,46.44775,-105.59082,-190.06348
0.27966,-0.448,-0.58008,48.33984,-56.88477,-202.33154
0.23352,0.00513,-0.8457,43.21289,-6.53076,-195.06836
0.19836,0.45959,-0.98718,13.30566,28.9917,-174.56055
0.25146,0.87219,-0.90747,-10.49805,65.36865,-153.9917
0.32178,1.30725,-0.84192,-23.01025,98.57178,-139.89258
0.40015,1.87976,-0.50977,7.44629,133.23975,-117.30957
0.52637,2.34961,-0.1803,27.16064,158.81348,-73.48633
0.72192,2.54163,0.23975,18.37158,189.33105,-15.86914
0.83752,2.63586,0.96777,-3.11279,217.04102,40.95459
0.75562,2.71777,1.677,-8.30078,222.0459,101.62354
0.67017,2.48083,2.078,4.3335,205.68848,169.49463
0.68347,1.84143,2.36145,-0.61035,184.63135,234.13086
0.7854,0.95801,3.25903,-30.27344,166.50391,282.95898
0.97656,0.12146,3.72107,-74.8291,152.40479,303.95508
0.7218,-1.2251,3.974,-41.50391,55.96924,305.11475
0.77368,-1.82532,3.99951,-32.95898,-17.15088,256.65283
0.73767,-1.94897,3.771,38.08594,-99.54834,184.87549
0.74036,-1.80823,3.17029,97.96143,-170.34912,122.37549
0.76221,-1.74829,2.31531,122.9248,-225.03662,74.15771
0.76611,-1.7373,1.32764,132.20215,-252.0752,27.46582
0.71582,-1.66382,0.6156,130.06592,-250.97656,-25.63477
0.64526,-1.28748,-0.02246,109.25293,-230.896,-79.10156
0.50513,-1.05859,-0.37463,106.0791,-190.24658,-113.83057
0.3822,-0.84241,-0.59375,84.16748,-145.87402,-137.08496
0.27393,-0.59692,-0.73218,72.08252,-105.10254,-151.97754
0.21973,-0.35144,-0.81226,62.74414,-65.7959,-157.89795
0.1925,-0.12512,-0.98621,49.01123,-29.41895,-153.93066
0.26892,0.07471,-0.97998,27.09961,33.5083,-154.11377
0.29199,0.45361,-0.93579,8.72803,68.90869,-156.25
0.28613,0.90063,-0.8075,5.24902,104.91943,-147.2168
0.31702,1.21106,-0.72986,-5.31006,140.80811,-122.80273
0.39502,1.55542,-0.46899,-17.76123,183.65479,-91.61377
0.53992,1.77173,0.12048,-20.87402,218.68896,-56.27441
0.62036,2.01477,0.77722,-21.05713,231.44531,-20.56885
0.64624,2.17029,1.32922,-13.67187,227.7832,16.54053
0.59253,2.20312,1.88013,-7.99561,218.99414,58.59375
0.46875,2.12122,2.52991,-15.74707,204.40674,110.29053
0.34302,1.71631,2.99805,-23.86475,174.07227,172.30225
0.46606,0.18103,3.52637,-27.52686,131.10352,224.97559
0.44519,-0.35852,3.99951,-47.54639,31.37207,227.6001
0.45544,-0.73938,3.80957,-31.37207,33.63037,195.86182
0.22156,-1.24426,3.74792,18.73779,-62.68311,167.05322
0.3717,-1.03955,3.4491,10.43701,-131.89697,144.89746
0.55054,-1.20471,2.77734,38.69629,-191.22314,132.08008
0.63562,-1.50146,1.89917,66.8335,-226.74561,103.33252
0.62085,-1.45691,1.12549,92.83447,-232.1167,53.6499
0.56238,-1.33105,0.55347,110.5957,-225.89111,5.98145
0.4104,-1.07556,0.01135,95.76416,-206.97021,-40.16113
0.29102,-0.85669,-0.26721,71.22803,-167.3584,-75.80566
0.25232,-0.70093,-0.39246,50.10986,-128.90625,-99.73145
0.20312,-0.47913,-0.52808,41.99219,-94.54346,-117.43164
0.18713,-0.19519,-0.65186,36.9873,-59.2041,-125.30518
0.15393,0.08337,-0.62012,33.26416,-26.55029,-121.88721
0.10754,0.38452,-0.56934,29.96826,-0.36621,-115.05127
0.06958,0.56238,-0.49255,26.67236,31.49414,-104.73633
